id_employee, salary ,salary_currency, salary_in_usd 
211," 100,000.00 ",USD," 100,000.00 "
212," 92,700.00 ",USD," 92,700.00 "
213," 64,900.00 ",USD," 64,900.00 "
214," 166,000.00 ",USD," 166,000.00 "
215," 73,000.00 ",USD," 73,000.00 "
216," 81,713.00 ",USD," 81,713.00 "
217," 48,067.00 ",USD," 48,067.00 "
218," 179,000.00 ",USD," 179,000.00 "
219," 112,000.00 ",USD," 112,000.00 "
220," 111,800.00 ",USD," 111,800.00 "
221," 68,195.00 ",USD," 68,195.00 "
222," 132,000.00 ",USD," 132,000.00 "
223," 82,500.00 ",USD," 82,500.00 "
224," 140,000.00 ",USD," 140,000.00 "
225," 100,000.00 ",USD," 100,000.00 "
226," 85,000.00 ",USD," 85,000.00 "
227," 61,800.00 ",USD," 61,800.00 "
228," 129,118.00 ",USD," 129,118.00 "
229," 86,078.00 ",USD," 86,078.00 "
230," 140,000.00 ",USD," 140,000.00 "
231," 107,000.00 ",USD," 107,000.00 "
232," 97,000.00 ",USD," 97,000.00 "
233," 62,000.00 ",USD," 62,000.00 "
234," 237,000.00 ",USD," 237,000.00 "
235," 201,450.00 ",USD," 201,450.00 "
236," 219,650.00 ",USD," 219,650.00 "
237," 136,000.00 ",USD," 136,000.00 "
238," 92,700.00 ",USD," 92,700.00 "
239," 64,900.00 ",USD," 64,900.00 "
240," 87,800.00 ",USD," 87,800.00 "
241," 76,300.00 ",USD," 76,300.00 "
242," 97,000.00 ",USD," 97,000.00 "
243," 62,000.00 ",USD," 62,000.00 "
244," 253,000.00 ",USD," 253,000.00 "
245," 187,000.00 ",USD," 187,000.00 "
246," 250,000.00 ",USD," 250,000.00 "
247," 150,000.00 ",USD," 150,000.00 "
248," 184,000.00 ",USD," 184,000.00 "
249," 123,000.00 ",USD," 123,000.00 "
250," 245,000.00 ",USD," 245,000.00 "
251," 180,000.00 ",USD," 180,000.00 "
252," 184,000.00 ",USD," 184,000.00 "
253," 123,000.00 ",USD," 123,000.00 "
254," 317,000.00 ",USD," 317,000.00 "
255," 266,000.00 ",USD," 266,000.00 "
256," 229,000.00 ",USD," 229,000.00 "
257," 221,000.00 ",USD," 221,000.00 "
258," 184,000.00 ",USD," 184,000.00 "
259," 123,000.00 ",USD," 123,000.00 "
260," 120,000.00 ",USD," 120,000.00 "
261," 62,100.00 ",USD," 62,100.00 "
262," 210,000.00 ",USD," 210,000.00 "
263," 162,000.00 ",USD," 162,000.00 "
264," 198,000.00 ",USD," 198,000.00 "
265," 162,000.00 ",USD," 162,000.00 "
266," 300,000.00 ",USD," 300,000.00 "
267," 180,000.00 ",USD," 180,000.00 "
268," 68,088.00 ",USD," 68,088.00 "
269," 54,552.00 ",USD," 54,552.00 "
270," 324,000.00 ",USD," 324,000.00 "
271," 159,000.00 ",USD," 159,000.00 "
272," 99,000.00 ",USD," 99,000.00 "
273," 70,000.00 ",USD," 70,000.00 "
274," 220,000.00 ",USD," 220,000.00 "
275," 146,000.00 ",USD," 146,000.00 "
276," 105,000.00 ",USD," 105,000.00 "
277," 70,000.00 ",USD," 70,000.00 "
278," 110,000.00 ",USD," 110,000.00 "
279," 90,000.00 ",USD," 90,000.00 "
280," 60,000.00 ",USD," 60,000.00 "
281," 55,000.00 ",USD," 55,000.00 "
282," 116,013.00 ",USD," 116,013.00 "
283," 92,810.00 ",USD," 92,810.00 "
284," 200,000.00 ",USD," 200,000.00 "
285," 150,000.00 ",USD," 150,000.00 "
286," 221,000.00 ",USD," 221,000.00 "
287," 138,000.00 ",USD," 138,000.00 "
288," 146,100.00 ",USD," 146,100.00 "
289," 86,500.00 ",USD," 86,500.00 "
290," 159,300.00 ",USD," 159,300.00 "
291," 96,600.00 ",USD," 96,600.00 "
292," 209,300.00 ",USD," 209,300.00 "
