id_employee,job_title, salary ,id_currency, salary_in_usd ,id_work_year,id_experience_level,id_remote_ratio,id_company
3542,Machine Learning Engineer,"198,200.00",1,"198,200.00",4,1,3,1
3543,Data Engineer,"269,100.00",1,"269,100.00",4,1,1,1
3544,Data Engineer,"131,300.00",1,"131,300.00",4,1,1,1
3545,Machine Learning Infrastructure Engineer,"220,000.00",1,"220,000.00",4,1,3,1
3546,Machine Learning Infrastructure Engineer,"150,000.00",1,"150,000.00",4,1,3,1
3547,Data Engineer,"60,000.00",3,"73,824.00",4,1,1,7
3548,Data Engineer,"50,000.00",3,"61,520.00",4,1,1,7
3549,Research Scientist,"252,990.00",1,"252,990.00",4,2,3,1
3550,Research Scientist,"162,170.00",1,"162,170.00",4,2,3,1
3551,Machine Learning Infrastructure Engineer,"260,000.00",1,"260,000.00",4,1,3,1
3552,Machine Learning Infrastructure Engineer,"235,000.00",1,"235,000.00",4,1,3,1
3553,Machine Learning Engineer,"204,500.00",1,"204,500.00",4,2,1,1
3554,Machine Learning Engineer,"142,200.00",1,"142,200.00",4,2,1,1
3555,Data Analytics Manager,"190,000.00",1,"190,000.00",4,1,1,1
3556,Data Analytics Manager,"145,000.00",1,"145,000.00",4,1,1,1
3557,Data Scientist,"212,800.00",1,"212,800.00",4,1,3,1
3558,Data Scientist,"111,600.00",1,"111,600.00",4,1,3,1
3559,Data Analyst,"175,000.00",1,"175,000.00",4,1,3,1
3560,Data Analyst,"130,000.00",1,"130,000.00",4,1,3,1
3561,Business Intelligence Analyst,"194,521.00",1,"194,521.00",4,1,1,1
3562,Business Intelligence Analyst,"176,838.00",1,"176,838.00",4,1,1,1
3563,Analytics Engineer,"200,000.00",1,"200,000.00",4,4,1,1
3564,Analytics Engineer,"170,000.00",1,"170,000.00",4,4,1,1
3565,Data Scientist,"191,765.00",1,"191,765.00",4,1,1,1
3566,Data Scientist,"134,236.00",1,"134,236.00",4,1,1,1
3567,Data Scientist,"238,000.00",1,"238,000.00",4,1,3,2
3568,Data Scientist,"156,000.00",1,"156,000.00",4,1,3,2
3569,Data Scientist,"198,800.00",1,"198,800.00",4,1,1,1
3570,Data Scientist,"90,700.00",1,"90,700.00",4,1,1,1
3571,BI Developer,"154,800.00",1,"154,800.00",4,2,1,1
3572,BI Developer,"76,300.00",1,"76,300.00",4,2,1,1
3573,Data Lead,"130,000.00",1,"130,000.00",4,2,3,1
